Status,Precio USD,Area m2,USD/m2,Ambientes,Direccion,Notas,URL
rejected,90000,43,2093,1,"Echeverría 5073","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-monoambiente-de-43-m-sup2--con-balcon-58448286.html
pending,93000,50,1860,2,"Amenabar 1200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-2-ambientes-en-belgrano-excelente-ubicacion!-59035861.html
pending,94000,51,1843,2,"Moldes 2925 - PB A || Frente y Patio","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-2-ambientes-planta-baja-al-frente-con-patio-muy-58972754.html
rejected,94000,38,2474,1,"Gabriela Mistral 3446","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-monoambiente-divisible-villa-56627309.html
rejected,93900,41,2290,1,"Juan B Justo al 2900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-58607323.html
rejected,99000,45,2200,2,"Pareja 3302. Entre Campana","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-ambientes.-pareja-al-3300-58375613.html
pending,95000,56,1696,3,"Pedro Lozano 3280","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-dpto-v.-del-parque-3-ambientes-luminoso-y-en-58417136.html
pending,89000,48,1854,2,"jeronimo salguero 1108","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-palermo-2-amb-58615596.html
pending,87000,58,1500,3,"Avenida Forest 400","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-amb-apto-credito-chacarita-58951950.html
pending,96000,59,1627,3,"Nazarre 3270","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-apto-credito.-apto-profesional.-nazarre-3270-1er-55767561.html
rejected,98000,43,2279,2,"Acevedo al 300","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-luminoso-2-ambientes-en-el-corazon-de-villa-crespo-59010447.html
